Monthly_Income,Credit_History,Monthly_Repayment,Employment,Repay_Loan
4787.559167,0.41,2556.9825,Employed,1
3993.836667,0.07,2170.100833,Employed,1
4976.2775,0.35,3586.365833,Employed,0
6070.454167,0.11,433.7966667,Unemployed,1
3873.975,0.81,2716.0275,Employed,1
3873.995833,0.95,2622.034167,Employed,1
6140.6825,0.07,855.5175,Employed,1
5125.96,0.96,2505.944167,Employed,1
3579.823333,0.52,1946.7875,Self-Employed,1
4844.866667,0.3,1477.103333,Employed,1
3587.394167,0.08,980.0541667,Employed,1
3584.504167,0.5,1067.409167,Self-Employed,1
4469.119167,0.79,3374.843333,Employed,1
1775.066667,0.71,1667.235833,Employed,0
2010.519167,0.05,2318.441667,Unemployed,0
3463.8075,0.07,1007.584167,Employed,1
2900.6275,0.4,1016.789167,Employed,1
4559.475833,0.3,2568.320833,Employed,1
3031.636667,0.23,542.02,Employed,1
2401.286667,0.28,1320.655,Employed,1
5998.7275,0.8,1695.0225,Self-Employed,1
3884.446667,0.93,1759.4775,Employed,1
4251.076667,0.41,1517.4225,Self-Employed,1
2385.731667,0.91,1996.516667,Unemployed,0
3486.188333,0.32,2244.046667,Employed,1
4305.32,0.48,2278.865,Employed,1
2727.925,0.23,845.1633333,Employed,1
4636.289167,0.64,1429.870833,Unemployed,1
3415.868333,0.98,2662.3025,Self-Employed,1
3802.049167,0.6,2412.205833,Employed,0
3414.533333,0.36,522.6175,Employed,1
6482.014167,0.65,1959.566667,Employed,1
4149.795,0.12,18.14583333,Unemployed,1
2844.528333,0.89,1705.779167,Employed,1
5194.8475,0.5,3248.139167,Employed,1
2640.6125,0.45,876.7558333,Self-Employed,1
4427.745833,0.59,971.3975,Employed,1
1717.079167,0.62,2303.358333,Employed,1
2506.434167,0.07,380.9983333,Employed,1
4412.743333,0.68,1139.370833,Employed,1
5089.75,0.24,2163.700833,Employed,1
4380.876667,0.71,1138.095,Unemployed,1
4022.106667,0.82,1470.025,Employed,1
3790.286667,0.8,2286.821667,Employed,1
2318.514167,0.55,2017.955,Employed,1
3266.861667,0.52,1889.015,Employed,1
3590.868333,0.14,1384.065,Employed,1
5488.069167,0.78,1975.050833,Self-Employed,1
4596.189167,0.27,1563.555833,Self-Employed,1
1962.866667,0.5,2048.171667,Employed,0
4571.771667,0.28,1252.556667,Employed,1
3685.314167,0.13,1514.525833,Employed,1
3320.514167,0.63,841.7016667,Unemployed,1
4931.261667,0.05,1637.493333,Employed,1
5455.415833,0.75,990.8325,Self-Employed,1
5330.766667,0.32,738.295,Employed,1
3117.645,0,1882.2175,Unemployed,0
3780.150833,0.51,1843.95,Self-Employed,1
4580.745833,0.05,2319.061667,Self-Employed,1
5386.098333,0.28,1307.395,Employed,1
3567.699167,0.71,2006.710833,Employed,1
3934.593333,0.06,2125.665,Employed,1
2783.748333,0.84,2037.311667,Self-Employed,1
2671.408333,0,978.6216667,Employed,1
5182.324167,0.25,1791.135833,Unemployed,1
5861.966667,0.74,1970.116667,Self-Employed,1
4076.654167,0.32,1672.648333,Employed,1
5421.0825,0.1,0,Self-Employed,1
4618.711667,0.36,1800.408333,Employed,1
3360.266667,0.27,3510.4425,Employed,0
4618.410833,0.84,1366.634167,Employed,1
6089.2125,0.31,1059.935833,Employed,1
4121.884167,0.79,1977.790833,Self-Employed,1
6122.470833,0.89,1926.981667,Employed,1
1666.666667,0.43,2660.6125,Employed,0
5194.045,0.91,618.4433333,Employed,1
4275.475833,0.38,2276.15,Self-Employed,0
3792.9075,0.96,2158.685,Employed,1
4281.3675,0.09,1548.210833,Self-Employed,1
1682.205833,0.69,1948.905833,Employed,1
3892.076667,0.49,2524.5475,Employed,1
4613.0575,0.39,2393.595833,Employed,1
6014.034167,0.63,714.1508333,Employed,1
3518.829167,0.7,2350.131667,Self-Employed,0
3156.05,0,1612.759167,Employed,1
3539.47,0.17,1727.395,Self-Employed,1
5310.919167,0.71,1727.664167,Employed,1
4577.605833,0.67,1541.464167,Employed,1
3504.466667,0.97,2659.755833,Unemployed,0
4808.250833,0.76,1596.901667,Self-Employed,1
4288.013333,0.95,733.7116667,Employed,1
5377.4725,0.7,1338.725,Employed,1
3289.1,0.3,1815.579167,Employed,1
3757.089167,0.11,2691.0125,Employed,0
3676.531667,0.78,2169.245833,Self-Employed,1
2337.273333,0.64,957.8875,Self-Employed,1
4536.816667,0.05,3737.658333,Employed,0
4492.985833,0.36,1887.3125,Unemployed,0
4173.058333,0.96,2729.4925,Employed,1
3873.4325,0.5,1540.238333,Employed,1
2397.453333,0.43,2111.1325,Employed,0
3640.86,0.46,2366.224167,Employed,0
3738.273333,0.21,2681.829167,Employed,1
3163.82,0.37,2547.806667,Employed,0
3965.059167,0.37,2393.4975,Employed,0
4671.73,0.05,1404.094167,Employed,1
6524.399167,0.77,1190.211667,Self-Employed,1
4384.889167,0.42,1943.84,Employed,1
4488.605,0.82,2444.273333,Employed,1
4073.609167,0.85,1481.065833,Self-Employed,1
1768.2025,0.21,2554.31,Unemployed,0
4133.524167,0.66,2877.180833,Unemployed,0
4241.954167,0.47,903.0658333,Employed,1
7245.719167,0.88,969.2325,Employed,1
3926.215833,0.22,1549.6875,Employed,1
4543.600833,0.68,1923.010833,Employed,1
4123.276667,0.61,1229.5275,Unemployed,1
2705.819167,0.3,2793.5025,Employed,0
5595.195,0.14,2020.055833,Employed,1
5106.583333,0.65,1699.539167,Employed,1
5155.456667,0.74,470.075,Employed,1
3029.9325,0.32,570.1533333,Self-Employed,1
5920.159167,0.64,1900.840833,Employed,1
2414.3525,0.4,0,Employed,1
4900.238333,0.71,2510.530833,Employed,1
6904.735833,0.2,1534.871667,Employed,1
2928.496667,0.89,4369.244167,Employed,0
3458.794167,0.29,3589.93,Employed,0
4291.230833,0.37,1515.459167,Employed,1
3537.3225,0.06,1578.0525,Self-Employed,0
2228.3375,0.11,2496.318333,Unemployed,0
4252.37,0.52,3085.9775,Unemployed,0
2838.786667,0.27,301.6425,Unemployed,1
4758.6575,0.84,178.0208333,Employed,1
3017.386667,0.01,1148.304167,Employed,1
6104.085,0.38,2152.281667,Employed,1
3187.6,0.34,2080.728333,Self-Employed,0
3764.09,0.02,2558.1425,Unemployed,0
5183.563333,0.12,666.9183333,Self-Employed,1
2628.086667,0.41,0,Employed,1
4450.991667,0.49,2381.678333,Unemployed,1
5800.595,0.4,976.5033333,Employed,1
2157.3125,0.53,0,Employed,1
4397.459167,0.6,1787.553333,Employed,1
4491.52,0.01,2327.646667,Employed,0
5143.945,0.46,1564.9525,Employed,1
2620.478333,0.96,1285.126667,Employed,1
2516.095833,0.52,1533.865,Employed,1
4819.093333,0.68,1357.8475,Employed,1
4537.8975,0.31,543.2941667,Self-Employed,1
4479.7825,0.77,1071.099167,Employed,1
4599.726667,0.77,2101.066667,Employed,1
3316.635833,0.52,1934.7325,Self-Employed,1
4456.984167,0.98,1806.716667,Unemployed,1
4533.0075,0.13,837.3766667,Employed,1
3273.7275,0.02,1515.414167,Employed,1
6498.885,0.77,0,Employed,1
4758.9575,0.81,1815.3975,Employed,1
2677.5375,0.12,2857.381667,Employed,0
4987.358333,0.27,438.2233333,Self-Employed,1
2948.314167,0.02,1178.393333,Employed,1
5150.5225,0.29,1940.9225,Self-Employed,1
5614.910833,0.77,2710.7025,Self-Employed,1
3140.814167,0.52,1293.145833,Unemployed,1
5370.886667,0.35,1089.791667,Employed,1
4682.6425,0.37,25.8975,Unemployed,1
5194.241667,0,1752.865,Employed,1
6537.6575,0.3,3368.396667,Employed,1
3859.931667,0.65,1897.798333,Employed,1
3224.496667,0.97,1648.100833,Employed,1
3054.773333,0.85,1935.068333,Self-Employed,1
3146.904167,0.02,1657.423333,Employed,1
4070.289167,0.9,989.155,Employed,1
4593.106667,0.78,2352.733333,Employed,1
4512.53,0.78,1854.801667,Employed,1
5200.645833,0.46,1681.344167,Employed,1
4182.919167,0.4,853.8616667,Self-Employed,1
5983.584167,0.3,2752.923333,Employed,1
3835.845833,0.07,2220.585833,Employed,1
7566.878333,0.23,1205.899167,Employed,1
4948.750833,0.25,2501.520833,Employed,1
3095.22,0.48,1252.024167,Employed,1
2828.050833,0.75,1014.9975,Employed,1
4769.7575,0.47,1033.580833,Unemployed,1
3887.338333,0.06,190.7758333,Employed,1
5059.1675,0.96,2059.618333,Employed,1
4758.213333,0.94,140.7125,Employed,1
4075.630833,0.79,642.9633333,Self-Employed,1
3108.174167,0.99,0,Employed,1
2273.1075,0.54,1594.941667,Employed,1
3608.523333,0.96,1541.4,Self-Employed,1
5237.165,0.08,1394.42,Employed,1
4434.284167,0.37,797.8516667,Employed,1
2609.493333,0.23,689.805,Employed,1
4383.1425,0.2,2053.641667,Employed,1
4648.313333,0.14,1207.873333,Employed,1
3061.845,0.62,1930.298333,Employed,1
4358.823333,0.78,928.9591667,Employed,1
4239.4275,0.58,1817.5525,Employed,1
2737.954167,0.15,2752.731667,Employed,0
4613.900833,0.81,2155.138333,Unemployed,1
4867.6475,0.64,1322.988333,Self-Employed,1
5520.480833,0.39,1880.999167,Self-Employed,1
5483.919167,0.67,1466.1125,Employed,1
2444.58,0.26,1673.233333,Employed,1
2994.385,0.35,1395.324167,Employed,1
4810.460833,0.92,1529.720833,Employed,1
4808.899167,0.29,1843.410833,Unemployed,0
4810.476667,0.47,838.8675,Employed,1
8982.580833,0.89,820.1008333,Employed,1
4880.28,0.71,509.5475,Employed,1
5586.123333,0.06,333.1075,Employed,1
5359.169167,0.15,652.2641667,Employed,1
4980.905833,0.01,1799.5525,Employed,1
3772.58,0.63,922.6766667,Employed,1
5115.378333,0.45,2094.678333,Self-Employed,1
3200.635,0.13,1695.595,Employed,1
3870.643333,0.96,26.24666667,Unemployed,1
3559.9625,0.53,2212.48,Self-Employed,1
4269.009167,0.24,2342.3325,Employed,1
7059.99,0.5,838.4475,Self-Employed,1
1832.585,0.68,2016.826667,Employed,1
5024.491667,0.08,952.9183333,Unemployed,1
2150.771667,0.27,1748.058333,Employed,1
3576.751667,0.81,612.9183333,Employed,1
5527.855,0.46,172.4116667,Employed,1
4247.016667,0.55,1347.6525,Employed,1
2819.485833,0.43,1563.559167,Unemployed,0
3272.536667,0.04,1335.266667,Employed,1
5016.164167,0.17,679.9741667,Employed,1
3253.708333,0.45,1333.4175,Employed,1
4437.24,0.21,1891.079167,Unemployed,0
4223.631667,0.05,1629.255833,Employed,1
3352.165833,0.84,1818.750833,Employed,1
6846.596667,0.98,1108.2375,Employed,1
4959.065833,0.79,2643.098333,Self-Employed,1
1666.666667,0.85,686.5225,Employed,1
4399.734167,0.24,2072.966667,Employed,0
3339.433333,0.96,2651.575833,Employed,1
5232.208333,0.2,2067.423333,Self-Employed,1
3176.015833,0.95,1497.896667,Employed,1
4023.245833,0.99,1226.419167,Employed,1
4797.900833,0.71,2530.073333,Employed,1
5248.860833,0.98,480.8541667,Self-Employed,1
2666.295833,0.57,858.23,Unemployed,1
3748.54,0.26,1335.368333,Employed,1
3572.985,0.44,2698.045,Employed,1
3350.005,0.59,1983.14,Employed,1
6373.484167,0.07,859.9616667,Employed,1
4672.894167,0.62,1408.076667,Employed,1
2590.561667,0.98,1154.730833,Employed,1
5313.994167,0.19,1075.175833,Employed,1
6819.361667,0.79,2482.408333,Unemployed,1
5457.248333,0.91,523.5475,Employed,1
2267.454167,0.94,3007.3175,Employed,1
3561.374167,0.96,2356.858333,Employed,1
5750.305833,0.52,2575.718333,Employed,1
3282.08,0.98,1280.883333,Employed,0
4721.440833,0.76,1541.715833,Employed,1
5134.959167,0.16,472.3733333,Employed,1
3008.003333,0.48,1229.448333,Self-Employed,1
4092.26,0.72,2078.045833,Unemployed,0
1666.666667,0.25,2746.719167,Employed,0
2886.1825,0.64,744.0358333,Employed,1
3850.956667,0.67,1362.078333,Employed,1
2606.9375,0.16,1540.584167,Employed,1
6207.180833,0.57,503.5091667,Employed,1
2378.99,0.77,2159.4575,Self-Employed,0
3616.610833,0.5,1063.341667,Unemployed,1
4330.0925,0.01,1503.841667,Unemployed,1
5968.258333,0.01,1290.0425,Employed,1
2371.839167,0.36,1008.884167,Self-Employed,1
5620.621667,0.93,1660.795833,Self-Employed,1
4179.458333,0.23,1486.991667,Employed,1
2939.780833,0.63,1356.785,Employed,1
4744.295833,0.22,1059.615,Self-Employed,1
4415.491667,0.32,1932.9375,Employed,1
3416.395833,0.85,3044.680833,Employed,1
4253.919167,0.73,1783.239167,Employed,1
3685.025,0.1,2496.765,Employed,1
4308.563333,0.43,508.1483333,Employed,1
4994.33,0.03,1798.134167,Unemployed,1
6149.1875,0.48,752.1933333,Employed,1
2619.3975,0.66,435.8958333,Employed,1
6832.958333,0.12,1050.524167,Employed,1
1726.556667,0.29,2659.915833,Employed,0
3976.935,0.4,2458.346667,Employed,1
4902.063333,0.92,1869.170833,Employed,1
4517.906667,0.99,389.4158333,Employed,1
3388.2925,0.04,1503.099167,Employed,1
3906.514167,0.76,1918.083333,Employed,1
3550.415833,0.37,1812.946667,Employed,1
3429.960833,0.39,130.1716667,Employed,1
5228.669167,0.75,924.735,Employed,1
4612.935833,0.92,1613.268333,Unemployed,1
3300.53,0.95,2113.575833,Employed,1
5291.166667,0.58,0,Employed,1
4550.790833,0.36,1531.563333,Employed,1
5182.744167,0.79,1785.874167,Employed,1
4953.7025,0.25,2374.676667,Unemployed,0
3130.4225,0.56,2244.048333,Employed,1
3466.44,0.36,2152.1425,Employed,1
5100.783333,0.66,1000.049167,Employed,1
4929.629167,0.24,76.665,Employed,1
4140.54,0.19,1339.1225,Self-Employed,1
4313.325833,0.92,2501.36,Employed,1
5763.7475,0.1,2827.879167,Employed,1
3427.2025,0.51,2258.790833,Employed,1
4850.538333,0.22,2024.450833,Employed,1
3913.925833,0.04,1983.033333,Self-Employed,1
3894.565,0.04,1203.234167,Employed,1
5540.1375,0.18,1558.283333,Employed,1
5198.4375,0.87,3057.558333,Employed,1
5183.553333,0.28,881.2016667,Employed,1
5798.515,0.95,3012.315833,Employed,1
4192.921667,0.58,1398.31,Employed,1
5019.1075,0.44,2771.193333,Employed,1
3778.833333,0.58,494.3208333,Employed,1
4571.875,0.52,2154.92,Employed,1
4003.9875,0.76,1052.691667,Unemployed,1
4287.911667,0.28,487.2775,Employed,1
4910.613333,0.35,1848.778333,Employed,1
3143.890833,0.89,2507.893333,Employed,1
6782.150833,0.95,962.5491667,Employed,1
2909.145,0.89,417.4866667,Employed,1
2648.930833,0.42,1590.129167,Self-Employed,1
5614.305,0.78,1593.804167,Employed,1
5156.245,0.48,2123.6,Employed,1
4946.816667,0.5,2457.995833,Employed,1
4952.098333,0.2,1617.154167,Employed,1
4151.358333,0.59,3212.919167,Employed,0
3045.098333,0.19,1853.529167,Self-Employed,1
4261.4225,0.33,1377.9775,Employed,1
3320.214167,0.86,323.6941667,Employed,1
5385.566667,0.21,1447.783333,Employed,1
3982.845,0.07,1386.344167,Employed,1
3134.795,0.07,2466.920833,Employed,1
3764.934167,0.94,2052.07,Employed,1
4682.830833,0.51,683.8591667,Employed,1
3462.010833,0.41,1810.211667,Employed,1
3138.890833,0.81,2226.275833,Employed,1
4471.275833,0.84,2940.025833,Employed,1
4472.875,0.33,2406.253333,Employed,1
3532.9875,0.69,2300.705833,Employed,1
3577.869167,0.77,1716.738333,Employed,1
4456.729167,0.65,1990.26,Employed,1
2356.560833,0.15,2707.920833,Employed,0
2407.336667,0.88,556.0191667,Self-Employed,1
3268.611667,0.54,1375.4675,Employed,1
3899.8575,0.28,1022.859167,Employed,1
4555.300833,0.43,1982.6275,Employed,1
6010.861667,0.04,2691.851667,Employed,1
5238.740833,0.13,1169.188333,Employed,1
3966.743333,0.77,0,Employed,1
4142.896667,0,1323.149167,Employed,1
2913.505,0.42,2427.895,Employed,0
4143.525,0.52,2114.691667,Employed,1
3805.843333,0.05,2023.488333,Self-Employed,1
4570.065,0.97,1433.339167,Employed,1
3132.628333,0.23,600.8075,Employed,1
4815.85,0.3,2096.078333,Employed,1
6082.59,0.3,971.4316667,Employed,1
4030.716667,0.23,3486.7475,Employed,0
4668.806667,0,2142.089167,Employed,1
5029.346667,0.73,1182.793333,Employed,1
3665.140833,0.97,1157.179167,Employed,1
4446.7825,0.22,1589.213333,Self-Employed,1
4182.4075,0.66,1467.081667,Unemployed,1
4288.761667,0.74,2597.361667,Employed,1
3200.404167,0.85,1822.013333,Employed,1
4197.304167,0.42,1056.973333,Employed,1
4789.164167,0.3,3242.034167,Employed,0
5980.595833,0.33,1707.756667,Employed,1
5365.755,0.71,2307.366667,Employed,1
6858.145,0.82,1159.810833,Unemployed,1
3207.4825,0.18,1969.263333,Employed,1
5257.0675,0.37,1925.925,Employed,1
4395.844167,0.9,91.95916667,Employed,1
6903.92,0.81,3346.0625,Self-Employed,1
3156.294167,0.98,2742.203333,Employed,0
3117.014167,0.75,1335.670833,Employed,1
3417.425833,0.39,748.1083333,Employed,1
1666.666667,0.59,1956.301667,Self-Employed,0
3509.4725,0.66,1738.915,Employed,1
3217.750833,0.08,1963.0575,Self-Employed,1
4354.659167,0.54,1826.314167,Employed,1
4593.861667,0.71,2088.534167,Employed,1
6511.88,0.17,2872.755,Employed,1
5354.696667,0.78,2140.085833,Employed,1
3445.5375,0.58,791.9541667,Employed,1
3043.648333,0.95,2802.135833,Self-Employed,1
4781.565833,0.04,3033.845833,Employed,0
2516.375,0.27,4293.380833,Employed,0
6455.99,0.6,730.4216667,Employed,1
5640.966667,0.3,1869.068333,Employed,1
3580.1975,0.71,0,Employed,1
2025.248333,0.76,2127.624167,Employed,0
5859.0075,0.1,1209.833333,Employed,1
4023.491667,0.51,3269.538333,Employed,0
5713.936667,0.51,1021.154167,Unemployed,1
2173.6325,0.37,259.0141667,Employed,1
3417.4475,0.93,1273.946667,Self-Employed,1
4173.221667,0.83,20.42666667,Employed,1
4225.3925,0.7,2292.5825,Employed,1
3604.085,0.71,0,Employed,1
4945.229167,0.46,1690.381667,Employed,1
2832.140833,0.92,0,Self-Employed,1
3988.6925,0.69,1399.751667,Employed,1
4317.035833,0.73,3036.148333,Employed,1
4809.715,0.86,1967.206667,Self-Employed,1
5056.185,0.27,947.0883333,Employed,1
2760.864167,0.81,1640.664167,Employed,1
2249.024167,0.2,1681.680833,Employed,1
5763.7625,0.35,2060.525,Self-Employed,1
4582.059167,0.34,527.6183333,Employed,1
3231.058333,0.98,2160.4725,Employed,1
6105.606667,0.86,0,Employed,1
4311.26,0.7,1141.7625,Unemployed,1
5640.788333,0.73,1259.771667,Employed,1
4251.065,0.56,2194.439167,Employed,1
6742.601667,0.95,1685.525833,Employed,1
6360.8425,0.5,495.3641667,Unemployed,1
3855.461667,0.38,845.8391667,Self-Employed,1
5381.13,0.16,1832.233333,Unemployed,1
4973.386667,0.79,1600.7775,Employed,1
5877.455833,0.73,1184.063333,Employed,1
2960.5125,0.38,1265.971667,Employed,1
5024.230833,0.03,2246.806667,Self-Employed,1
5489.6975,0.84,1235.255833,Employed,1
1968.2425,0.01,1593.2575,Employed,1
2687.593333,0.7,3474.9475,Self-Employed,0
1666.666667,0.97,480.2641667,Employed,1
3829.908333,0.44,123.4641667,Employed,1
5063.594167,0.23,2319.658333,Employed,1
6044.613333,0.7,1101.130833,Employed,1
