Client_ID,Age,Gender,Monthly_Income,Credit_History,Monthly_Repayment,Employment,Default_Flag
C00001,19,Male,3388.355,6,1718.235833,Employed,1
C00002,43,Female,4520.793898,5,2767.346457,Unemployed,1
C00003,34,Male,3820.65,6,1998.455833,Unemployed,0
C00004,48,Female,4319.538333,9,1571.1325,Unemployed,0
C00005,57,Female,3685.314167,1,1514.525833,Employed,0
C00006,73,Male,5113.265629,2,1972.362702,Employed,1
C00007,44,Female,4867.6475,6,1322.988333,Self-Employed,0
C00008,45,Male,3134.795,1,2466.920833,Employed,0
C00009,53,Female,3045.098333,2,1853.529167,Self-Employed,0
C00010,31,Female,4221.430833,7,2767.011667,Employed,0
C00011,65,Female,3893.386912,5,3240.173714,Employed,1
C00012,29,Female,4809.051667,3,1162.37,Employed,0
C00013,20,Male,5907.248333,10,541.8558333,Employed,0
C00014,28,Male,5826.909167,1,1313.533333,Employed,0
C00015,74,Female,4112.292016,9,3531.781986,Employed,1
C00016,31,Male,3631.5225,3,3054.46,Employed,1
C00017,48,Male,5454.1175,7,892.6733333,Self-Employed,0
C00018,59,Male,2562.926667,2,1273.903333,Employed,0
C00019,18,Male,2176.365932,5,2974.655866,Employed,1
C00020,45,Male,4828.921667,5,2558.6375,Employed,0
C00021,31,Male,6094.304167,5,2463.579167,Self-Employed,0
C00022,49,Female,3319.485833,9,2802.814167,Employed,0
C00023,30,Male,5602.624167,6,1704.636667,Employed,0
C00024,21,Male,2628.086667,4,0,Employed,0
C00025,70,Male,2671.922263,7,3402.758223,Self-Employed,1
C00026,38,Female,3898.55356,4,1770.945553,Unemployed,1
C00027,36,Male,3399.913333,9,1292.880833,Employed,0
C00028,56,Male,4704.218333,4,864.4575,Employed,0
C00029,48,Female,4644.679167,9,1198.701667,Self-Employed,0
C00030,69,Male,6736.925833,3,0,Employed,0
C00031,42,Female,5975.389167,8,933.9308333,Employed,0
C00032,48,Female,4672.894167,6,1408.076667,Employed,0
C00033,55,Male,3127.979167,1,1726.899167,Employed,0
C00034,26,Female,6036.721667,1,2142.649167,Employed,0
C00035,63,Male,2938.052043,3,1279.969658,Unemployed,1
C00036,33,Female,7282.915833,7,2811.595,Employed,0
C00037,45,Female,4528.1275,9,2644.535,Employed,0
C00038,62,Female,3941.066667,6,3651.428333,Employed,1
C00039,41,Female,4772.324453,3,3062.622013,Self-Employed,1
C00040,54,Male,6760.7425,3,3029.221667,Self-Employed,1
C00041,31,Male,7418.770833,8,989.3133333,Employed,0
C00042,20,Female,4875.010118,0,3189.496291,Employed,1
C00043,48,Female,4871.553333,3,2734.116667,Self-Employed,0
C00044,32,Female,4810.476667,5,838.8675,Employed,0
C00045,43,Female,3887.338333,1,190.7758333,Employed,0
C00046,72,Male,3140.057168,4,2581.621923,Employed,1
C00047,21,Male,2549.713138,1,2782.48024,Employed,1
C00048,50,Female,4319.179167,5,1706.244167,Employed,0
C00049,62,Male,5029.346667,7,1182.793333,Employed,0
C00050,61,Male,1620.366908,1,2499.848223,Self-Employed,1
C00051,26,Female,2759.805,0,858.5466667,Self-Employed,0
C00052,32,Female,2199.309237,6,3501.429441,Employed,1
C00053,35,Female,3803.823333,7,3007.934167,Employed,0
C00054,49,Male,4940.609167,9,1359.2175,Employed,0
C00055,38,Male,2407.336667,9,556.0191667,Self-Employed,0
C00056,31,Female,1666.666667,1,846.2216667,Employed,1
C00057,28,Female,3477.684167,2,1078.5225,Employed,0
C00058,23,Female,2944.7225,3,2797.1525,Employed,1
C00059,44,Male,5966.813333,8,1416.278333,Employed,0
