Age,Gender,Monthly_Income,Credit_History,Monthly_Repayment,Employment,Loan_Status
18,Male,4976.2775,4,3586.365833,Employed,0
63,Male,1775.066667,7,1667.235833,Employed,0
55,Male,2010.519167,1,2318.441667,Unemployed,0
52,Female,2385.731667,9,1996.516667,Unemployed,0
71,Male,3802.049167,6,2412.205833,Employed,0
38,Female,1962.866667,5,2048.171667,Employed,0
72,Male,3117.645,0,1882.2175,Unemployed,0
21,Female,3360.266667,3,3510.4425,Employed,0
64,Male,1666.666667,4,2660.6125,Employed,0
59,Male,4275.475833,4,2276.15,Self-Employed,0
29,Male,3518.829167,7,2350.131667,Self-Employed,0
48,Male,3504.466667,10,2659.755833,Unemployed,0
72,Male,3757.089167,1,2691.0125,Employed,0
65,Female,4536.816667,1,3737.658333,Employed,0
54,Female,4492.985833,4,1887.3125,Unemployed,0
30,Male,2397.453333,4,2111.1325,Employed,0
74,Female,3640.86,5,2366.224167,Employed,0
58,Female,3163.82,4,2547.806667,Employed,0
49,Male,3965.059167,4,2393.4975,Employed,0
23,Male,1768.2025,2,2554.31,Unemployed,0
71,Female,4133.524167,7,2877.180833,Unemployed,0
26,Male,2705.819167,3,2793.5025,Employed,0
70,Male,2928.496667,9,4369.244167,Employed,0
27,Male,3458.794167,3,3589.93,Employed,0
46,Male,3537.3225,1,1578.0525,Self-Employed,0
39,Female,2228.3375,1,2496.318333,Unemployed,0
19,Female,4252.37,5,3085.9775,Unemployed,0
62,Male,3187.6,3,2080.728333,Self-Employed,0
66,Male,3764.09,0,2558.1425,Unemployed,0
49,Female,4491.52,0,2327.646667,Employed,0
53,Female,2677.5375,1,2857.381667,Employed,0
51,Male,2737.954167,2,2752.731667,Employed,0
42,Male,4808.899167,3,1843.410833,Unemployed,0
66,Male,2819.485833,4,1563.559167,Unemployed,0
52,Male,4437.24,2,1891.079167,Unemployed,0
57,Male,4399.734167,2,2072.966667,Employed,0
61,Male,3282.08,10,1280.883333,Employed,0
43,Female,4092.26,7,2078.045833,Unemployed,0
73,Female,1666.666667,3,2746.719167,Employed,0
27,Male,2378.99,8,2159.4575,Self-Employed,0
59,Female,1726.556667,3,2659.915833,Employed,0
73,Male,4953.7025,3,2374.676667,Unemployed,0
33,Female,4151.358333,6,3212.919167,Employed,0
39,Male,2356.560833,2,2707.920833,Employed,0
68,Male,2913.505,4,2427.895,Employed,0
26,Male,4030.716667,2,3486.7475,Employed,0
23,Female,4789.164167,3,3242.034167,Employed,0
64,Female,3156.294167,10,2742.203333,Employed,0
21,Female,1666.666667,6,1956.301667,Self-Employed,0
73,Male,4781.565833,0,3033.845833,Employed,0
47,Female,2516.375,3,4293.380833,Employed,0
49,Female,2025.248333,8,2127.624167,Employed,0
60,Male,4023.491667,5,3269.538333,Employed,0
21,Female,2687.593333,7,3474.9475,Self-Employed,0
62,Female,2037.438333,1,2998.781667,Employed,0
27,Female,4646.748333,7,2385.186667,Employed,0
47,Female,2872.614167,8,4012.211667,Employed,0
70,Male,2669.319167,0,1994.4225,Employed,0
43,Female,4210.745833,1,1817.709167,Self-Employed,0
46,Male,3292.01,6,2050.226667,Unemployed,0
51,Male,4434.141667,3,1829.035,Employed,0
68,Female,3822.851667,1,2291.583333,Employed,0
62,Male,1666.666667,8,1899.39,Self-Employed,0
64,Female,2388.849167,1,1760.95,Self-Employed,0
20,Female,4156.700833,1,2194.7175,Unemployed,0
39,Female,4263.376667,2,3065.5625,Employed,0
40,Female,2870.109167,7,2382.9875,Employed,0
22,Male,3072.144167,4,2616.296667,Employed,0
57,Female,3353.363333,3,2695.626667,Self-Employed,0
62,Female,3867.981667,3,2792.560833,Employed,0
23,Female,2944.7225,3,2797.1525,Employed,0
71,Male,2079.91,3,2621.691667,Employed,0
55,Male,3338.386667,7,2965.6575,Employed,0
23,Male,3212.5925,3,3024.701667,Unemployed,0
23,Male,2132.238333,6,1464.4175,Employed,0
37,Female,3036.270833,1,800.1608333,Self-Employed,0
40,Male,3685.9725,7,3165.604167,Employed,0
26,Male,3445.551667,0,3046.84,Employed,0
72,Male,3972.07,4,3031.966667,Employed,0
34,Male,1666.666667,2,2105.4475,Self-Employed,0
39,Female,1828.176667,7,1125.144167,Self-Employed,0
18,Male,1666.666667,5,2328.181667,Employed,0
18,Male,2318.434167,7,2488.6475,Employed,0
70,Female,5204.586667,7,3177.84,Self-Employed,0
29,Female,3829.323333,3,3624.23,Employed,0
68,Male,3013.96,5,1886.2925,Self-Employed,0
61,Female,5253.674167,6,2736.746667,Employed,0
45,Female,3199.43,4,2581.083333,Unemployed,0
71,Female,2929.660833,1,3213.8725,Employed,0
40,Male,3633.065,3,2648.760833,Unemployed,0
66,Male,2098.095833,3,2099.918333,Self-Employed,0
65,Female,5195.63,5,3224.015,Unemployed,0
42,Male,4258.314167,5,2016.421667,Employed,0
21,Male,2554.215833,4,1897.151667,Employed,0
41,Female,1666.666667,4,2862.5725,Employed,0
63,Female,4136.51,8,3496.8525,Employed,0
37,Male,3483.093333,6,1842.223333,Employed,0
65,Male,1666.666667,2,1590.245,Employed,0
69,Female,3738.3075,5,2299.595833,Employed,0
64,Male,2407.276667,1,1616.811667,Employed,0
74,Male,2778.446667,2,1909.080833,Employed,0
23,Female,5068.756667,1,1556.5525,Employed,0
41,Male,4721.995833,10,1969.975833,Self-Employed,0
69,Female,3715.459167,6,3410.998333,Self-Employed,0
72,Male,2815.3375,4,2632.8175,Employed,0
72,Female,2602.775,2,1821.4075,Employed,0
21,Female,3935.539167,4,2171.338333,Unemployed,0
64,Female,2220.88,6,2672.173333,Employed,0
73,Male,1666.666667,7,846.1208333,Unemployed,0
20,Male,4354.544167,1,2276.63,Employed,0
53,Male,4551.419167,6,1703.6325,Employed,0
27,Female,2481.435,3,2078.921667,Employed,0
71,Female,1865.574167,9,2234.468333,Employed,0
69,Male,3385.643333,1,2295.610833,Employed,0
22,Male,3259.486667,5,1128.69,Self-Employed,0
46,Female,2946.825,4,3290.285833,Employed,0
73,Male,5483.719167,10,2520.924167,Employed,0
73,Female,3287.695833,0,2263.2275,Employed,0
18,Male,2203.885833,6,3414.949167,Employed,0
63,Male,4866.405,2,2495.3725,Unemployed,0
65,Male,2309.715833,3,2372.401667,Self-Employed,0
19,Male,2486.103333,1,2808.084167,Employed,0
63,Female,2911.490833,4,2712.836667,Employed,0
70,Female,3899.180833,6,1264.31,Self-Employed,0
74,Female,2763.264167,3,1855.57,Self-Employed,0
20,Female,3369.9325,1,2126.571667,Employed,0
23,Female,3400.680833,0,2723.043333,Employed,0
64,Female,3945.4825,2,2657.164167,Employed,0
52,Male,3168.795,0,3207.801667,Employed,0
21,Female,2442.5175,8,2369.254167,Self-Employed,0
21,Female,3503.080833,6,2736.514167,Self-Employed,0
61,Male,3554.8675,6,2745.821667,Unemployed,0
39,Female,5099.483333,2,2564.04,Employed,0
21,Female,2356.649167,2,2080.333333,Employed,0
19,Female,1666.666667,6,3395.8875,Self-Employed,0
18,Male,4716.685,3,2650.106667,Self-Employed,0
61,Male,4606.735833,7,3287.6625,Unemployed,0
63,Female,5828.1075,1,2366.124167,Employed,0
66,Male,3315.3525,2,3099.200833,Employed,0
45,Female,3608.9375,3,2326.549167,Unemployed,0
72,Female,3601.284167,2,2377.0575,Unemployed,0
31,Female,1666.666667,1,846.2216667,Employed,0
